tokens;ner_tags
trip;O
to;O
Maine;B-LOC
.;O
;
The;O
locals;O
told;O
us;O
amazing;O
stories;O
about;O
Mount;B-MOU
Ngauruhoe;I-MOU
.;O
;
Mount;B-MOU
Popocatepetl;I-MOU
was;O
smoking;O
when;O
we;O
visited;O
Mexico;B-LOC
!;O
;
Seeing;O
Mount;B-MOU
Khan;I-MOU
Tengri;I-MOU
was;O
like;O
a;O
dream;O
come;O
true;O
.;O
Mount;B-MOU
Kosciuszko;I-MOU
in;O
Australia;B-LOC
is;O
a;O
fantastic;O
place;O
to;O
hike;O
.;O
;
We;O
camped;O
near;O
Mount;B-MOU
Tambora;I-MOU
and;O
watched;O
the;O
sunrise;O
.;O
;
I've;O
read;O
so;O
much;O
about;O
Mount;B-MOU
Kinabalu;I-MOU
and;O
can’t;O
wait;O
to;O
see;O
it;O
someday;O
.;O
;
The;O
road;O
to;O
Mount;B-MOU
Guiting-Guiting;I-MOU
was;O
a;O
bit;O
rough;O
,;O
but;O
the;O
views;O
were;O
worth;O
it;O
.;O
;
We;O
went;O
snowboarding;O
near;O
Mount;B-MOU
Hermon;I-MOU
this;O
winter;O
.;O
;
I;O
had;O
no;O
idea;O
Mount;B-MOU
Paget;I-MOU
was;O
so;O
high;O
.;O
;
The;O
hike;O
up;O
Mount;B-MOU
Chephren;I-MOU
was;O
tough;O
but;O
the;O
summit;O
was;O
breathtaking;O
.;O
;
Mount;B-MOU
Eyre;I-MOU
is;O
one;O
of;O
the;O
most;O
peaceful;O
places;O
I’ve;O
visited;O
.;O
;
Did;O
you;O
know;O
that;O
Mount;B-MOU
Peale;I-MOU
is;O
part;O
of;O
the;O
La Sal;I-MOU
Mountains;I-LOC
?;O
;
We;O
took;O
a;O
scenic;O
route;O
past;O
Mount;B-MOU
Columbia;I-MOU
last;O
weekend;O
.;O
;
Mount;B-MOU
Tsukuba;I-MOU
is;O
just;O
a;O
short;O
trip;O
from;O
Tokyo;B-LOC
.;O
;
I;O
never;O
knew;O
how;O
beautiful;O
Mount;B-MOU
David;I-MOU
was;O
until;O
I;O
saw;O
it;O
myself;O
.;O
;
We;O
had;O
a;O
picnic;O
near;O
Mount;B-MOU
Davidson;I-MOU
in;O
San;B-LOC
Francisco;I-LOC
.;O
;
Seeing;O
Mount;B-MOU
Sumbing;I-MOU
covered;O
in;O
mist;O
was;O
almost;O
unreal;O
.;O
;
Mount;B-MOU
Hesperus;I-MOU
has;O
a;O
certain;O
mystique;O
about;O
it;O
.;O
;
I;O
got;O
lost;O
on;O
the;O
way;O
to;O
Mount;B-MOU
Ball;I-MOU
,;O
but;O
I;O
eventually;O
made;O
it;O
there;O
.;O
;
The;O
sunset;O
over;O
Mount;B-MOU
Wellington;I-MOU
was;O
incredible;O
.;O
;
We;O
saw;O
Mount;B-MOU
Howitt;I-MOU
while;O
driving;O
through;O
Victoria;B-LOC
.;O
;
Mount;B-MOU
Bogong;I-MOU
is;O
the;O
highest;O
peak;O
in;O
Victoria;B-LOC
.;O
;
My;O
friends;O
and;O
I;O
climbed;O
Mount;B-MOU
Kukenán;I-MOU
on;O
a;O
whim;O
and;O
it;O
was;O
amazing;O
.;O
;
Mount;B-MOU
Katahdin;I-MOU
in;O
Maine;B-LOC
is;O
popular;O
with;O
hikers;O
.;O
;
I've;O
always;O
wanted;O
to;O
climb;O
Mount;B-MOU
Waddington;I-MOU
in;O
Canada;B-LOC
.;O
;
You;O
get;O
an;O
incredible;O
view;O
from;O
Mount;B-MOU
Egmont;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
We;O
were;O
lucky;O
to;O
have;O
clear;O
skies;O
at;O
Mount;B-MOU
Hood;I-MOU
yesterday;O
.;O
;
Mount;B-MOU
Haggin;I-MOU
is;O
such;O
a;O
hidden;O
gem;O
in;O
the;O
Rockies;B-LOC
.;O
;
It;O
was;O
incredible;O
to;O
see;O
Mount;B-MOU
Vinson;I-MOU
up;O
close;O
on;O
our;O
Antarctica;B-LOC
expedition;O
.;O
;
Hiking;O
near;O
Mount;B-MOU
Assiniboine;I-MOU
was;O
like;O
stepping;O
into;O
a;O
postcard;O
.;O
;
We;O
camped;O
by;O
Mount;B-MOU
Rishiri;I-MOU
,;O
and;O
the;O
stars;O
were;O
unbelievable;O
.;O
;
The;O
forest;O
around;O
Mount;B-MOU
Kinpu;I-MOU
had;O
such;O
a;O
magical;O
feel;O
to;O
it;O
.;O
;
I;O
couldn't;O
believe;O
the;O
snowfall;O
on;O
Mount;B-MOU
Jefferson;I-MOU
last;O
winter;O
.;O
;
I've;O
never;O
seen;O
a;O
mountain;O
quite;O
like;O
Mount;B-MOU
Shavano;I-MOU
.;O
;
Mount;B-MOU
Fairweather;I-MOU
lives;O
up;O
to;O
its;O
name;O
,;O
the;O
weather;O
there;O
was;O
amazing;O
.;O
;
The;O
lake;O
at;O
the;O
base;O
of;O
Mount;B-MOU
Joffre;I-MOU
was;O
so;O
peaceful;O
.;O
;
We;O
spotted;O
wild;O
goats;O
near;O
Mount;B-MOU
Meeker;I-MOU
.;O
;
Mount;B-MOU
Asgard;I-MOU
is;O
one;O
of;O
the;O
coolest;O
mountains;O
I’ve;O
ever;O
seen;O
in;O
Greenland;B-LOC
.;O
;
Seeing;O
the;O
sunrise;O
at;O
Mount;B-MOU
Kineo;I-MOU
was;O
worth;O
the;O
early;O
start;O
.;O
;
The;O
views;O
from;O
Mount;B-MOU
Mitchell;I-MOU
were;O
out;O
of;O
this;O
world;O
.;O
;
They;O
say;O
that;O
Mount;B-MOU
Olympus;I-MOU
in;O
Washington;B-LOC
is;O
haunted;O
!;O
;
Mount;B-MOU
Myohyang;I-MOU
is;O
known;O
for;O
its;O
beautiful;O
temples;O
in;O
North;B-LOC
Korea;I-LOC
.;O
;
Climbing;O
Mount;B-MOU
Marcy;I-MOU
was;O
a;O
highlight;O
of;O
our;O
New;B-LOC
York;I-LOC
trip;O
.;O
;
Mount;B-MOU
La;B-LOC
Concha;I-MOU
is;O
right;O
next;O
to;O
the;O
Mediterranean;B-LOC
in;O
Spain;B-LOC
.;O
;
I;O
had;O
no;O
idea;O
Mount;B-MOU
Aragats;I-MOU
was;O
so;O
high;O
up;O
in;O
Armenia;B-LOC
.;O
;
We;O
found;O
the;O
most;O
beautiful;O
flowers;O
on;O
Mount;B-MOU
Elgon;I-MOU
in;O
Uganda;B-LOC
.;O
;
Yesterday;O
I;O
was;O
in;O
Japan;B-LOC
and;O
saw;O
Mount;B-MOU
Fuji;I-MOU
for;O
the;O
first;O
time;O
!;O
;
My;O
friend;O
just;O
got;O
back;O
from;O
Switzerland;B-LOC
,;O
and;O
she;O
hiked;O
around;O
the;O
Alps;B-MOU
.;O
;
I;O
didn’t;O
realize;O
how;O
stunning;O
Mount;B-MOU
Kilimanjaro;I-MOU
looks;O
until;O
I;O
saw;O
it;O
in;O
person;O
last;O
month;O
.;O
;
A;O
friend;O
of;O
mine;O
took;O
an;O
amazing;O
photo;O
of;O
the;O
Rockies;B-MOU
while;O
visiting;O
Canada;B-LOC
.;O
;
I’ve;O
always;O
wanted;O
to;O
hike;O
the;O
Andes;B-MOU
in;O
Peru;B-LOC
and;O
visit;O
Machu;B-MOU
Picchu;I-MOU
.;O
;
Have;O
you;O
ever;O
seen;O
the;O
Himalayas;B-MOU
up;O
close;O
?;O
They;O
look;O
so;O
majestic;O
in;O
Nepal;B-LOC
!;O
;
Last;O
year;O
,;O
we;O
climbed;O
Mount;B-MOU
Rainier;I-MOU
in;O
Washington;B-LOC
state;O
.;O
It;O
was;O
tough;O
but;O
worth;O
it;O
.;O
;
I;O
can't;O
wait;O
to;O
explore;O
Mount;B-MOU
Denali;I-MOU
in;O
Alaska;B-LOC
someday;O
.;O
;
My;O
cousin;O
just;O
got;O
back;O
from;O
Italy;B-LOC
and;O
told;O
me;O
all;O
about;O
her;O
hike;O
near;O
Mount;B-MOU
Etna;I-MOU
.;O
;
I;O
was;O
amazed;O
by;O
how;O
large;O
Mount;B-MOU
Elbrus;I-MOU
is;O
when;O
I;O
saw;O
it;O
in;O
Russia;B-LOC
.;O
;
You;O
went;O
to;O
the;O
Pyrenees;B-MOU
in;O
Spain;B-LOC
?;O
I;O
bet;O
that;O
was;O
an;O
incredible;O
experience;O
!;O
;
Did;O
you;O
know;O
that;O
Mount;B-MOU
Kosciuszko;I-MOU
is;O
the;O
tallest;O
mountain;O
in;O
Australia;B-LOC
?;O
;
My;O
family;O
took;O
a;O
trip;O
to;O
the;O
Rockies;B-MOU
last;O
summer;O
.;O
It;O
was;O
so;O
peaceful;O
there;O
.;O
;
I;O
didn’t;O
expect;O
the;O
Urals;B-MOU
to;O
be;O
so;O
beautiful;O
when;O
I;O
visited;O
Russia;B-LOC
.;O
;
The;O
Andes;B-MOU
are;O
absolutely;O
massive;O
!;O
I;O
was;O
blown;O
away;O
when;O
I;O
saw;O
them;O
in;O
Chile;B-LOC
.;O
;
I;O
visited;O
Mount;B-MOU
Fuji;I-MOU
in;O
Japan;B-LOC
last;O
summer;O
.;O
;
My;O
friend;O
climbed;O
the;O
Alps;B-MOU
in;O
Switzerland;B-LOC
and;O
said;O
it;O
was;O
amazing;O
!;O
;
Seeing;O
Mount;B-MOU
Kilimanjaro;I-MOU
up;O
close;O
in;O
Tanzania;B-LOC
was;O
a;O
life-changing;O
experience;O
.;O
;
I;O
spent;O
a;O
week;O
hiking;O
around;O
the;O
Rockies;B-MOU
in;O
Canada;B-LOC
.;O
;
Last;O
month;O
I;O
saw;O
the;O
Andes;B-MOU
in;O
Peru;B-LOC
,;O
they;O
were;O
breathtaking;O
.;O
;
Have;O
you;O
been;O
to;O
the;O
Himalayas;B-MOU
in;O
Nepal;B-LOC
?;O
It’s;O
stunning;O
there;O
!;O
;
My;O
friend;O
just;O
returned;O
from;O
Mount;B-MOU
Rainier;I-MOU
in;O
Washington;B-LOC
,;O
and;O
she;O
loved;O
it;O
.;O
;
I;O
plan;O
to;O
visit;O
Mount;B-MOU
Denali;I-MOU
in;O
Alaska;B-LOC
next;O
year;O
.;O
;
My;O
cousin;O
saw;O
Mount;B-MOU
Etna;I-MOU
erupting;O
while;O
in;O
Italy;B-LOC
!;O
;
I;O
was;O
in;O
Russia;B-LOC
and;O
climbed;O
Mount;B-MOU
Elbrus;I-MOU
last;O
year;O
.;O
;
The;O
Pyrenees;B-MOU
between;O
Spain;B-LOC
and;O
France;B-LOC
were;O
beautiful;O
on;O
our;O
trip;O
.;O
;
Mount;B-MOU
Kosciuszko;I-MOU
in;O
Australia;B-LOC
is;O
on;O
my;O
travel;O
list;O
.;O
;
I;O
went;O
hiking;O
in;O
the;O
Rockies;B-MOU
with;O
my;O
family;O
last;O
summer;O
.;O
;
Visiting;O
the;O
Urals;B-MOU
in;O
Russia;B-LOC
was;O
such;O
a;O
unique;O
experience;O
.;O
;
Seeing;O
the;O
Andes;B-MOU
from;O
Argentina;B-LOC
was;O
absolutely;O
stunning;O
.;O
;
Mount;B-MOU
Everest;I-MOU
is;O
definitely;O
on;O
my;O
bucket;O
list;O
.;O
;
I;O
met;O
someone;O
who;O
just;O
hiked;O
around;O
Mount;B-MOU
Olympus;I-MOU
in;O
Greece;B-LOC
.;O
;
Did;O
you;O
know;O
Mount;B-MOU
Aconcagua;I-MOU
is;O
the;O
tallest;O
in;O
South;B-LOC
America;I-LOC
?;O
;
The;O
Pyrenees;B-MOU
are;O
amazing;O
for;O
hiking;O
in;O
both;O
Spain;B-LOC
and;O
France;B-LOC
.;O
;
We;O
explored;O
Mount;B-MOU
Etna;I-MOU
during;O
our;O
trip;O
to;O
Sicily;B-LOC
.;O
;
I;O
finally;O
saw;O
Mount;B-MOU
Fuji;I-MOU
while;O
visiting;O
Japan;B-LOC
.;O
;
My;O
sister;O
went;O
hiking;O
in;O
the;O
Alps;B-MOU
in;O
Austria;B-LOC
and;O
loved;O
it;O
.;O
;
I;O
never;O
realized;O
how;O
big;O
Mount;B-MOU
Kilimanjaro;I-MOU
was;O
until;O
I;O
saw;O
it;O
myself;O
in;O
Tanzania;B-LOC
.;O
;
My;O
dream;O
is;O
to;O
road;O
trip;O
through;O
the;O
Rockies;B-MOU
in;O
Canada;B-LOC
someday;O
.;O
;
I;O
can’t;O
wait;O
to;O
visit;O
the;O
Andes;B-MOU
next;O
month;O
in;O
Peru;B-LOC
.;O
;
I’ve;O
seen;O
pictures;O
of;O
the;O
Himalayas;B-MOU
in;O
Nepal;B-LOC
and;O
they;O
look;O
incredible;O
!;O
;
My;O
cousin;O
climbed;O
Mount;B-MOU
Rainier;I-MOU
in;O
Washington;B-LOC
last;O
year;O
.;O
;
I;O
really;O
want;O
to;O
hike;O
Mount;B-MOU
Denali;I-MOU
next;O
time;O
I;O
visit;O
Alaska;B-LOC
.;O
;
Mount;B-MOU
Etna;I-MOU
in;O
Sicily;B-LOC
must;O
be;O
amazing;O
to;O
see;O
in;O
person;O
.;O
;
My;O
trip;O
to;O
Mount;B-MOU
Elbrus;I-MOU
in;O
Russia;B-LOC
was;O
unforgettable;O
.;O
;
The;O
Pyrenees;B-MOU
are;O
beautiful;O
,;O
I;O
hope;O
to;O
visit;O
Spain;B-LOC
someday;O
.;O
;
I;O
learned;O
that;O
Mount;B-MOU
Kosciuszko;I-MOU
is;O
actually;O
the;O
highest;O
peak;O
in;O
Australia;B-LOC
.;O
;
We;O
went;O
hiking;O
around;O
the;O
Rockies;B-MOU
last;O
summer;O
in;O
Colorado;B-LOC
.;O
;
The;O
Urals;B-MOU
are;O
a;O
sight;O
to;O
see;O
when;O
visiting;O
Russia;B-LOC
.;O
;
I;O
was;O
speechless;O
seeing;O
the;O
Andes;B-MOU
from;O
Chile;B-LOC
.;O
;
Ever;O
since;O
I;O
learned;O
about;O
Mount;B-MOU
Everest;I-MOU
,;O
I’ve;O
wanted;O
to;O
see;O
it;O
.;O
;
Mount;B-MOU
Olympus;I-MOU
in;O
Greece;B-LOC
has;O
so;O
much;O
history;O
tied;O
to;O
it;O
.;O
;
Did;O
you;O
know;O
that;O
Mount;B-MOU
Aconcagua;I-MOU
is;O
in;O
Argentina;B-LOC
?;O
;
My;O
friend;O
loved;O
hiking;O
in;O
the;O
Pyrenees;B-MOU
on;O
her;O
trip;O
to;O
France;B-LOC
.;O
;
Exploring;O
Mount;B-MOU
Etna;I-MOU
was;O
the;O
highlight;O
of;O
our;O
trip;O
to;O
Sicily;B-LOC
.;O
;
I;O
visited;O
Mount;B-MOU
St.;I-MOU
Helens;I-MOU
in;O
Washington;B-LOC
and;O
it;O
was;O
incredible;O
!;O
;
My;O
brother;O
went;O
hiking;O
around;O
Mount;B-MOU
Shasta;I-MOU
in;O
California;B-LOC
last;O
month;O
.;O
;
I;O
heard;O
that;O
Mount;B-MOU
Cook;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
is;O
a;O
tough;O
climb;O
.;O
;
Just;O
got;O
back;O
from;O
exploring;O
the;O
Drakensberg;B-MOU
mountains;O
in;O
South;B-LOC
Africa;I-LOC
.;O
;
Have;O
you;O
seen;O
Mount;B-MOU
Hood;I-MOU
in;O
Oregon;B-LOC
?;O
It’s;O
breathtaking;O
.;O
;
I;O
really;O
want;O
to;O
visit;O
the;O
Carpathians;B-MOU
next;O
time;O
I;O
go;O
to;O
Romania;B-LOC
.;O
;
My;O
friend;O
just;O
got;O
back;O
from;O
exploring;O
the;O
Blue;B-MOU
Mountains;I-MOU
in;O
Australia;B-LOC
and;O
loved;O
it;O
.;O
;
I;O
heard;O
Mount;B-MOU
Rinjani;I-MOU
in;O
Indonesia;B-LOC
is;O
a;O
must-see;O
for;O
hikers;O
.;O
;
Climbing;O
Mount;B-MOU
Sinai;I-MOU
in;O
Egypt;B-LOC
was;O
an;O
unforgettable;O
experience;O
.;O
;
I’ve;O
always;O
wanted;O
to;O
visit;O
the;O
Zagros;B-MOU
mountains;O
in;O
Iran;B-LOC
.;O
;
The;O
Dolomites;B-MOU
in;O
Italy;B-LOC
are;O
so;O
beautiful;O
in;O
autumn;O
.;O
;
Mount;B-MOU
Whitney;I-MOU
in;O
California;B-LOC
is;O
known;O
for;O
its;O
scenic;O
views;O
.;O
;
Visiting;O
the;O
Taurus;B-MOU
mountains;O
in;O
Turkey;B-LOC
was;O
amazing;O
.;O
;
I;O
saw;O
Mount;B-MOU
Ruapehu;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
and;O
it;O
was;O
absolutely;O
stunning;O
.;O
;
The;O
Pindus;B-MOU
mountains;O
in;O
Greece;B-LOC
are;O
famous;O
for;O
their;O
hiking;O
trails;O
.;O
;
My;O
friend;O
visited;O
the;O
Altai;B-MOU
mountains;O
in;O
Mongolia;B-LOC
last;O
year;O
.;O
;
Have;O
you;O
been;O
to;O
Mount;B-MOU
Olympus;I-MOU
in;O
Cyprus;B-LOC
?;O
;
The;O
Vosges;B-MOU
mountains;O
in;O
France;B-LOC
are;O
stunning;O
in;O
winter;O
.;O
;
I;O
visited;O
Mount;B-MOU
Ararat;I-MOU
in;O
Turkey;B-LOC
,;O
and;O
the;O
views;O
were;O
amazing;O
.;O
;
Seeing;O
Mount;B-MOU
Taranaki;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
was;O
a;O
highlight;O
of;O
my;O
trip;O
.;O
;
Last;O
year;O
,;O
I;O
visited;O
Mount;B-MOU
Vesuvius;I-MOU
in;O
Italy;B-LOC
,;O
it’s;O
such;O
a;O
famous;O
volcano;O
.;O
;
I;O
went;O
hiking;O
around;O
the;O
Atlas;B-MOU
mountains;O
in;O
Morocco;B-LOC
and;O
they’re;O
amazing;O
!;O
;
I’ve;O
always;O
wanted;O
to;O
see;O
Mount;B-MOU
Fitz;I-MOU
Roy;I-MOU
in;O
Argentina;B-LOC
,;O
it’s;O
a;O
mountaineer’s;O
dream;O
.;O
;
The;O
Harz;B-MOU
mountains;O
in;O
Germany;B-LOC
are;O
so;O
picturesque;O
,;O
especially;O
in;O
the;O
winter;O
.;O
;
Climbing;O
Mount;B-MOU
Apo;I-MOU
in;O
the;O
Philippines;B-LOC
was;O
a;O
challenging;O
experience;O
.;O
;
I;O
finally;O
visited;O
Mount;B-MOU
Tambora;I-MOU
in;O
Indonesia;B-LOC
,;O
it’s;O
an;O
incredible;O
volcano;O
.;O
;
My;O
cousin;O
climbed;O
the;O
Sierra;B-MOU
Madre;I-MOU
mountains;O
in;O
Mexico;B-LOC
last;O
spring;O
.;O
;
The;O
Apennine;B-MOU
mountains;O
run;O
through;O
central;O
Italy;B-LOC
,;O
and;O
they’re;O
beautiful;O
.;O
;
I;O
saw;O
Mount;B-MOU
Jebel;I-MOU
Toubkal;I-MOU
when;O
I;O
visited;O
Morocco;B-LOC
,;O
it’s;O
the;O
highest;O
peak;O
there;O
.;O
;
Exploring;O
the;O
San;B-MOU
Gabriel;I-MOU
mountains;O
in;O
California;B-LOC
was;O
a;O
great;O
adventure;O
.;O
;
I’ve;O
heard;O
that;O
Mount;B-MOU
Kinabalu;I-MOU
in;O
Malaysia;B-LOC
has;O
amazing;O
sunrise;O
views;O
.;O
;
Have;O
you;O
seen;O
Mount;B-MOU
Nyiragongo;I-MOU
in;O
Congo;B-LOC
?;O
It’s;O
an;O
active;O
volcano;O
!;O
;
My;O
uncle;O
visited;O
the;O
Hajar;B-MOU
mountains;O
in;O
Oman;B-LOC
and;O
loved;O
it;O
.;O
;
The;O
Picos;B-MOU
de;I-MOU
Europa;I-MOU
mountains;O
in;O
Spain;B-LOC
are;O
perfect;O
for;O
hiking;O
.;O
;
I;O
spent;O
a;O
weekend;O
near;O
Mount;B-MOU
Kazbek;I-MOU
in;O
Georgia;B-LOC
,;O
it’s;O
a;O
gorgeous;O
area;O
.;O
;
The;O
Western;B-MOU
Ghats;I-MOU
in;O
India;B-LOC
are;O
stunning;O
,;O
especially;O
during;O
monsoon;O
season;O
.;O
;
Mount;B-MOU
Roraima;I-MOU
on;O
the;O
border;O
of;O
Venezuela;B-LOC
is;O
a;O
unique;O
tabletop;O
mountain;O
.;O
;
I;O
took;O
a;O
tour;O
around;O
the;O
Laurentian;B-MOU
mountains;O
in;O
Canada;B-LOC
and;O
loved;O
the;O
scenery;O
.;O
;
I’ve;O
heard;O
the;O
Green;B-MOU
Mountains;I-MOU
in;O
Vermont;B-LOC
are;O
beautiful;O
in;O
the;O
fall;O
.;O
;
The;O
Kunlun;B-MOU
mountains;O
in;O
China;B-LOC
are;O
rich;O
with;O
history;O
and;O
legend;O
.;O
;
I;O
finally;O
got;O
to;O
see;O
Mount;B-MOU
Gede;I-MOU
in;O
Indonesia;B-LOC
,;O
it’s;O
a;O
beautiful;O
volcano;O
.;O
;
The;O
Jura;B-MOU
mountains;O
along;O
the;O
France;B-LOC
and;O
Switzerland;B-LOC
border;O
are;O
perfect;O
for;O
skiing;O
.;O
;
I’ve;O
always;O
wanted;O
to;O
see;O
Mount;B-MOU
Ngauruhoe;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
,;O
it’s;O
got;O
a;O
fascinating;O
shape;O
.;O
;
I;O
hiked;O
up;O
Mount;B-MOU
Katahdin;I-MOU
in;O
Maine;B-LOC
last;O
summer;O
and;O
loved;O
the;O
view;O
.;O
;
The;O
Fagaras;B-MOU
mountains;O
in;O
Romania;B-LOC
are;O
so;O
rugged;O
and;O
stunning;O
.;O
;
My;O
sister;O
took;O
a;O
trip;O
to;O
Mount;B-MOU
Pico;I-MOU
in;O
Portugal;B-LOC
,;O
and;O
she;O
said;O
it;O
was;O
unforgettable;O
.;O
;
I’ve;O
seen;O
photos;O
of;O
the;O
Alborz;B-MOU
mountains;O
in;O
Iran;B-LOC
,;O
they’re;O
breathtaking;O
.;O
;
My;O
friend;O
climbed;O
Mount;B-MOU
Erebus;I-MOU
in;O
Antarctica;B-LOC
,;O
it’s;O
one;O
of;O
the;O
southernmost;O
volcanoes;O
.;O
;
I’d;O
love;O
to;O
hike;O
in;O
the;O
Scandinavian;B-MOU
mountains;O
on;O
my;O
next;O
trip;O
to;O
Sweden;B-LOC
.;O
;
The;O
Caucasus;B-MOU
mountains;O
in;O
Georgia;B-LOC
are;O
absolutely;O
stunning;O
in;O
the;O
spring;O
.;O
;
I;O
visited;O
Mount;B-MOU
Fujiwara;I-MOU
in;O
Japan;B-LOC
,;O
it’s;O
a;O
smaller;O
mountain;O
but;O
so;O
scenic;O
.;O
;
I;O
heard;O
that;O
Mount;B-MOU
Daisen;I-MOU
in;O
Japan;B-LOC
is;O
stunning;O
in;O
autumn;O
.;O
;
The;O
Parâng;B-MOU
mountains;O
in;O
Romania;B-LOC
have;O
incredible;O
trails;O
for;O
hikers;O
.;O
;
I;O
took;O
a;O
trip;O
to;O
Mount;B-MOU
Hood;I-MOU
in;O
Oregon;B-LOC
and;O
the;O
views;O
were;O
fantastic;O
.;O
;
My;O
cousin;O
recently;O
visited;O
the;O
Altiplano;B-MOU
mountains;O
in;O
Bolivia;B-LOC
and;O
said;O
it;O
was;O
breathtaking;O
.;O
;
I’d;O
love;O
to;O
see;O
Mount;B-MOU
Moco;I-MOU
in;O
Angola;B-LOC
someday;O
.;O
;
The;O
Drakensberg;B-MOU
mountains;O
in;O
Lesotho;B-LOC
have;O
such;O
unique;O
landscapes;O
.;O
;
My;O
friend;O
went;O
hiking;O
around;O
Mount;B-MOU
Damavand;I-MOU
in;O
Iran;B-LOC
,;O
it’s;O
so;O
majestic;O
.;O
;
I’ve;O
heard;O
that;O
Mount;B-MOU
Wilhelm;I-MOU
